user,date,hashtags,full_text,favorite_count,label,char_count,word_count,word_density,punctuation_count,title_word_count,upper_case_word_count,noun_count,verb_count,adj_count,adv_count,pron_count
DanRather,Mon May 24 14:11:19 +0000 2021,[],A grave and growing threat. This cannot be treated as politics as usual. https://t.co/dNgJA630DG,21756,politics,96,14,6.4,7,2,1,5,3,1,1,0
kaushikcbasu,Mon May 24 02:27:23 +0000 2021,[],Cross-country youth unemployment data are alarming for India (see chart below). There are two ways to react to this. South Korean response: Admit mistake &amp; make policy correction. North Korean response: Reject the data. Let's hope India puts politics aside &amp; opts for the former. https://t.co/EYSoafh7Nr,4932,politics,311,46,6.617021276595745,20,9,0,18,12,5,2,0
BreitbartNews,Mon May 24 00:10:20 +0000 2021,[],"BUSTED: Michigan Gov. Gretchen Whitmer (D) hit the bar this weekend and violated her own coronavirus orders, according to an exclusively obtained photo. https://t.co/nmnd2N4nwu",6217,politics,176,24,7.04,11,5,2,13,3,2,1,1
Michael19280339,Tue May 25 14:07:31 +0000 2021,[],@officeofssbadal @capt_amarinder @PTI_News @ani_digital @thetribunechd @htTweets @TimesNow @aajtak @ndtv @ABPNews @TOIIndiaNews There are zero worthwhile so called Generals to lead Punjab. Hence under the circumstances the Captain is performing adequately. Stop politics over Covid. If you have any positive contribution to offer then it’s welcome otherwise please keep mumb.,0,politics,375,49,7.5,18,8,0,25,12,7,4,2
mukrao,Tue May 25 14:07:31 +0000 2021,[],"RT @RepMGS: GOP complicity continues to undermine American values. By refusing to condemn abhorrent, anti-Semitic comments, Republican lead…",0,politics,140,18,7.368421052631579,6,3,2,10,4,2,0,0
h786_ali,Tue May 25 14:07:31 +0000 2021,[],"RT @BBCPolitics: ""What's going to be most important now, is the recommendations are there right in front of Boris Johnson and the party lea…",0,politics,140,24,5.6,5,2,1,8,5,2,4,1
rdawnie,Tue May 25 14:07:31 +0000 2021,[],McGahn Is Likely to Testify Next Week on Trump’s Efforts to Obstruct Russia Inquiry https://t.co/5aJVLxx6JU,0,politics,107,15,6.6875,5,9,0,9,4,2,0,0
Keyhanh,Tue May 25 14:07:31 +0000 2021,[],"@RumHamisthebest @cenkuygur Yes, this is the exact extremism that feeds on the politics of Israel today. Creating Iraq war based on lies fed by Netanyahu to the US Congress leading to hundreds of thousands civilians dead in middle east does not lead to love and understanding.",0,politics,276,46,5.872340425531915,5,6,1,18,11,3,1,0
eleanormdrew,Tue May 25 14:07:30 +0000 2021,['SaveSheffieldArchaeology'],"RT @f_deans: In solidarity today with #SaveSheffieldArchaeology
Archaeology is not just a multi-faceted subject, which is about studying hu…",0,politics,140,19,7.0,6,2,1,8,3,2,2,0
PushingPastNumb,Tue May 25 14:07:30 +0000 2021,[],"RT @fembojj: 2016:  i love mrs clunton more like the G O Pee

2018: i dont care about politics

2021: *putting my cock in a mcflurry* ted K…",0,politics,140,28,4.827586206896552,7,4,4,15,4,0,1,1
KyleOlbert,Tue May 25 14:07:29 +0000 2021,[],RT @NatashaBertrand: The first face-to-face meeting between Biden and Russian President Vladimir Putin is expected to take place next month…,0,politics,140,20,6.666666666666667,4,6,1,11,3,3,0,0
MingxiaZhang2,Tue May 25 14:07:29 +0000 2021,[],"RT @lavern_spicer: Republicans need more like @mtgreenee and @mattgaetz.

These are two people who do not give a damn about politics or abo…",0,politics,140,23,5.833333333333333,6,2,1,10,4,3,1,1
budwarren,Tue May 25 14:07:28 +0000 2021,[],"RT @RWPUSA: This is a very bad move.  The public has a right to see the DOJ memo. Presidents should not guard their predecessors' secrets,…",0,politics,139,25,5.346153846153846,6,3,3,12,4,1,2,1
Urireo561,Tue May 25 14:07:28 +0000 2021,[],RT @washingtonpost: Analysis: Could less publicizing of ransomware fixes have prevented the Colonial Pipeline attack? https://t.co/mO3J53K2…,0,politics,140,16,8.235294117647058,9,4,1,11,4,0,1,0
flippedlip,Tue May 25 14:07:28 +0000 2021,[],"RT @jeffzeleny: It's official: President Joe Biden and Russian President Vladimir Putin to meet in Geneva, Switzerland on June 16 for their…",0,politics,140,22,6.086956521739131,5,10,1,14,2,1,0,1
OfficialKXNG3,Tue May 25 14:07:27 +0000 2021,[],RT @NBCNews: Republican lawmakers slam Rep. Marjorie Taylor Greene for comparing the House mask mandate to the Holocaust. https://t.co/KF9p…,0,politics,140,19,7.0,9,7,1,14,2,1,0,0
CharleyMeckna,Tue May 25 14:07:27 +0000 2021,[],"@LukaBrazzi @sccaracer12 How about this dumb
Americans died while Obama and Hillary played

https://t.co/Veqjzdslgr",0,politics,115,14,7.666666666666667,7,4,0,7,3,2,1,0
Vinyljules,Tue May 25 14:07:27 +0000 2021,[],"RT @GypsyTravellerM: We wish @NadiaWhittomeMP a healthy recovery. It's so brave, but also so important that we see politicians and other pu…",0,politics,140,22,6.086956521739131,6,1,1,6,3,6,3,3
psamarkand,Tue May 25 14:07:27 +0000 2021,[],RT @DavidCornDC: THIS JUST IN. I spoke with a member of the covert Burmese resistance about its efforts to counter the military junta. This…,0,politics,140,24,5.6,4,3,5,12,2,2,0,2
