user,date,hashtags,full_text,favorite_count,topic
mikepompeo,Tue Jun 01 17:09:23 +0000 2021,[],"Today marks the anniversary of when we said, “Au- Revoir” to the Paris Climate Accord, which destroyed jobs and was a joke. 

When Biden re-entered this deal, Xi Jinping and his fellow travelers cheered.",17946,climate
VP,Wed Jun 02 21:30:09 +0000 2021,[],"Our Administration believes in science. As Director of the Office of Science and Technology Policy, Dr. Eric Lander will help make the advancements in science and technology needed to address our biggest health, climate, and national security challenges. https://t.co/dHPx9CR6C5",11010,climate
mattletiss7,Wed Jun 02 14:23:54 +0000 2021,[],If you think the Covid propaganda has been bad wait til you see the climate change stuff they’ve got planned,4825,climate
Chrisclarkson69,Thu Jun 03 07:42:31 +0000 2021,[],"""The unspoken subtext of this year’s Cop26 climate conference is clear to the young: that we will do our best within the limits of what big business can tolerate, and what elderly voters will accept. We’re prepared to fail because we won’t be around to live with the consequences"" https://t.co/9QDpnbaYZ3",0,climate
Ex0d1us,Thu Jun 03 07:42:30 +0000 2021,[],"Went lookin for otger horny people in vr chat and found a nice place but couldn't go 8n cause its VR only [im a desktop user]

I really need a job but the job climate around my place is fuckin abysmal",0,climate
CleirenJules,Thu Jun 03 07:42:30 +0000 2021,['ClimateChange'],"Climate Change Modeling of ""Degrowth"" Scenarios – Reduction in GDP, Energy and Material Use #ClimateChange via https://t.co/YJATIVbljI https://t.co/bBVrjbHN6D",0,climate
EvidenceRobot,Thu Jun 03 07:42:28 +0000 2021,[],RT @ArboNews: Using internet-based query and climate data to predict climate-sensitive infectious disease risks: a systematic review of epi…,0,climate
RinTinTinnyTop,Thu Jun 03 07:42:28 +0000 2021,[],"RT @WorldviewInter1: ‘Mangroves are life’: the female conservationists rewilding the Cambodian coast
https://t.co/VARojuR33l
Mangrove fores…",0,tech
Reachingout4you,Thu Jun 03 07:42:25 +0000 2021,[],RT @mattletiss7: If you think the Covid propaganda has been bad wait til you see the climate change stuff they’ve got planned,0,climate
cheezuzcrust,Thu Jun 03 07:42:24 +0000 2021,[],"RT @GretaThunberg: ""The unspoken subtext of this year’s Cop26 climate conference is clear to the young: that we, the suit-wearing, SUV-driv…",0,climate
danx_tusiime,Thu Jun 03 07:42:21 +0000 2021,[],"RT @Hirolla256: Biodiversity provides us basic human needs, b’se of it we are able to obtain food, shelter, fuel etc. through the ecosystem…",0,business
JWGill3,Thu Jun 03 07:42:20 +0000 2021,[],RT @wtmpacific: “The top British envoy in Canberra has confirmed that the UK is encouraging Australia to increase its emission reduction ta…,0,health
NHSat70,Thu Jun 03 07:42:20 +0000 2021,['CreativeIndustries'],"RT @CreativePEC: 📢Call for research proposals📢Theme: recovery of #CreativeIndustries, with sub-themes of climate change, post-Brexit opport…",0,climate
BHASolutions,Thu Jun 03 07:42:18 +0000 2021,[],"RT @WBG_Health: Increasing interactions between humans and animals, the erosion of biodiversity, alteration of ecosystems, and climate chan…",0,climate
HananABenOthman,Thu Jun 03 07:42:18 +0000 2021,"['G7', 'BuildBackBetter']","RT @G7: The #G7 Summit is next week
 📅11–13 June 2021
📍 Cornwall

World leaders will gather to discuss how we #BuildBackBetter together to:…",0,politics
EurLiberalForum,Thu Jun 03 07:42:16 +0000 2021,"['ScienceNotFiction', 'ELFevent']","It’s happening!

@BrusselsGeek introduces our first speaker, Futurist and Humanist Author @gleonhard, who starts with a strong statement: 

""Covid-19 was just a test run for Climate change""

#ScienceNotFiction #ELFevent https://t.co/CrRTu6UrIv",0,climate
beate_ingrid,Thu Jun 03 07:42:14 +0000 2021,"['ClimateCrisis', 'G7']",👏 @BorisJohnson @RegSprecher @POTUS @JustinTrudeau @EUCouncil the world is counting on you to help stop the #ClimateCrisis at the #G7. Live up to your promise at Copenhagen by mobilizing $100bn/yr to help with clean economic development and climate adaptation. 🌎,0,climate
AquaforAll,Thu Jun 03 07:42:12 +0000 2021,"['WorldRiverRun', 'WorldEnvironmentDay']","It's Day 2 of the #WorldRiverRun and we wish you all a good run! 🏃‍♀️🏃🏾Rivers sustain our wildlife 🐘 and help us tackle climate change 🌡 They are the life blood of our planet 🌍 so let's honour them and keep on running until Saturday, #WorldEnvironmentDay https://t.co/TPf1mHXO8p",0,climate
MR_Doodles53,Thu Jun 03 07:42:12 +0000 2021,[],@LeeHurstComic @hughosmond @AllisonPearson More evidence of Climate change?,0,climate
LiveShareGrow,Thu Jun 03 07:42:11 +0000 2021,"['Climate', 'Energy']",Who Is Live Share Grow? We All Are. https://t.co/LcQumB3Xop #Climate #Energy https://t.co/oaFTQ9hI4y,0,climate
BreakingNews878,Thu Jun 03 07:42:08 +0000 2021,[],RT @guardiannews: Climate crisis: rich countries falling short on vow to help poorer ones https://t.co/r05Tr7d4pa,0,climate
rietveld55,Thu Jun 03 07:42:04 +0000 2021,"['cycling', 'WorldBicycleDay']",RT @NLinMumbai: In the Netherlands are more bicycles than people which why #cycling is in our DNA. On this UN #WorldBicycleDay we invite yo…,0,business
KuttymaStr,Thu Jun 03 07:42:04 +0000 2021,"['Maanaadu', 'climatechange', 'epidemic', 'paruvani']","RT @bradleybright7: #Maanaadu 

Climate Change and Epidemics in Tamil #climatechange #epidemic #paruvani... https://t.co/aQ3UWYX2Gg via @Yo…",0,climate
Tequilla61,Thu Jun 03 07:42:03 +0000 2021,[],"RT @GretaThunberg: ""The unspoken subtext of this year’s Cop26 climate conference is clear to the young: that we, the suit-wearing, SUV-driv…",0,climate
LeBomber05,Thu Jun 03 07:42:01 +0000 2021,[],@MathiasCormann It’s sad that you have embraced the climate change cult (and madness) to ensure you are seen as someone important,0,climate
BioMirela,Thu Jun 03 07:42:00 +0000 2021,[],"RT @PNASNews: Climate change has likely reduced the high-elevation flammability barrier, making an additional 81,500 square kilometers of f…",0,climate
AndrewARay,Thu Jun 03 07:41:58 +0000 2021,[],"@ForestMommy @Zarathanarchy ""related to pandemics is ... bioterrorism, that somebody who wants to cause damage could engineer a virus. So that means the chance of running into this is more than just the naturally caused epidemics like the current one.""
https://t.co/JPduln0XAL",0,tech
viswanath_pilla,Thu Jun 03 07:41:53 +0000 2021,"['SUSTAINABILITY', 'climatechange']","RT @PoddarNisha: ROAD TO #SUSTAINABILITY #climatechange ⁦⁦@moneycontrolcom⁩
Reliance Industries Sees Big Opportunity In Global Consensus Ag…",0,business
MColvinMcKenzie,Thu Jun 03 07:41:53 +0000 2021,[],RT @wtmpacific: “The top British envoy in Canberra has confirmed that the UK is encouraging Australia to increase its emission reduction ta…,0,health
PapahMuda2021,Thu Jun 03 07:41:53 +0000 2021,[],"RT @patriot016610: Thank you, ambassador Mr. @LambertGrijns for giving appreciation to the @dkijakarta @aniesbaswedan provincial government…",0,politics
LawnsideSutton,Thu Jun 03 07:41:48 +0000 2021,['WHA74'],"RT @andersen_inger: Great pleasure to join @DrTedros &amp; @DrMariaNeira
at #WHA74. A healthy planet is a precondition for healthy lives. The t…",0,culture
ikizdeniz,Thu Jun 03 07:41:47 +0000 2021,['climateheritage'],How can we leverage heritage in a changing global climate? https://t.co/5yNTxT0IvZ #climateheritage,0,climate
ABabdulrahmanAB,Thu Jun 03 07:41:47 +0000 2021,[],"Hi my fellow climate activists, I think my Digital climate strike has became sort of unuseful, and it doesn't have a real effect on politicians so:
1. I will strike in the important events ( global climate strike, COP)

2. To show my solidarity with campaigns

What do you think?",0,climate
mdymet,Thu Jun 03 07:41:43 +0000 2021,[],"RT @Corkcoco: @mmcgrathtd on forms of Blue economy, economic prosperity &amp; environmental sustainability delivered together.  Cork’s energy e…",0,business
ika_bledram,Thu Jun 03 07:41:41 +0000 2021,[],RT @imanridzuan_: Less than 200 malayan tigers left in malaysia. Leatherback turtles already extinct and the other species are endangered.…,0,health
Stephen22501760,Thu Jun 03 07:41:41 +0000 2021,[],"RT @JonDeeOz: New green jobs👇

Last year Australia supplied nearly 50% of the world’s lithium ore at a value of about $US100 million.

@Tes…",0,politics
ukinpoland,Thu Jun 03 07:41:40 +0000 2021,['WorldBicycleDay'],"RT @beisgovuk: Swapping your car for a bike is a great way to cut carbon emissions🚴‍

To celebrate #WorldBicycleDay, @frogbikes  talk about…",0,climate
GabiSuzanne,Thu Jun 03 07:41:40 +0000 2021,"['climate', 'forests']",RT @MWildernessInt: Recent #climate trends enabled fires in an additional 11% of western US #forests. Study on elevational distribution of…,0,climate
PloggingKenya,Thu Jun 03 07:41:39 +0000 2021,['GenerationRestoration'],"RT @UNEP_Africa: Jon us for the launch of a new report: Becoming #GenerationRestoration: Ecosystem Restoration for People, Nature and Clima…",0,health
siayifabian,Thu Jun 03 07:41:39 +0000 2021,[],RT @Uhunyeparody: The water storage technology introduced in Kenya years ago was initially restricted to arid and semi-arid areas where rai…,0,tech
herofukutu,Thu Jun 03 07:41:38 +0000 2021,[],"RT @CenterForBioDiv: ""We must come to terms with our addiction to beef — and shift away from it. It's time to move burgers from the center…",0,politics
XR_Hamm_Fulham,Thu Jun 03 07:41:33 +0000 2021,[],"RT @GretaThunberg: ""The unspoken subtext of this year’s Cop26 climate conference is clear to the young: that we, the suit-wearing, SUV-driv…",0,climate
hayatcokguzel21,Thu Jun 03 07:41:31 +0000 2021,[],"RT @EdaSerkanBolat_: If someone wants to get kerem a birthday gift, youcan donate in his name to help in the climate crisis by yuvam dunya…",0,climate
KomradSasha,Thu Jun 03 07:41:29 +0000 2021,[],"RT @NASA: Introducing our Earth System Observatory, a new set of five satellite missions that will provide a three-dimensional understandin…",0,politics
HelloNiceWorld2,Thu Jun 03 07:41:28 +0000 2021,[],Challengers unseat third Exxon board member in climate fight https://t.co/E9CrhRIpa7,0,climate
Billandbecks,Thu Jun 03 07:41:27 +0000 2021,[],Climate and Nature a much bigger priority https://t.co/2t5IitYdiy,0,climate
